            X1          X2
1   0.90581908  0.06907272
2  -0.07695454 -2.12171940
3   0.41503879  1.30677514
4   1.80403585  0.93140090
5   0.01941697  1.19820884
6   0.65954077  1.69545240
7  -0.99318674 -1.47563742
8  -0.78654838 -0.71510208
9  -1.08576894 -0.72682626
10 -1.44134404 -0.58456370
11 -1.16429001 -0.61675337
12  0.76702122  0.30444424
13  0.95109245  0.29820599
14 -0.64709077 -0.21107615
15  0.35756463  1.57640000
16  1.10609281  0.60668132
17  0.91104345  0.51999769
18 -1.56129897 -2.13581583
19  1.79126923  2.92535525
20  1.67270281  0.37063873
21 -1.18453147 -1.53175101
22  0.75836172  0.87703481
23  0.90407722  0.75183811
24  0.51411395  0.81894295
25  0.47246849  0.73686661
26 -1.51523816 -0.24079081
27 -0.97286296 -0.16116045
28 -1.06587813 -0.26616378
29 -1.09335593 -0.66282016
30  1.70299567  0.50780858
31 -1.50067432 -1.71665776
32 -0.72607523 -0.32250710
33 -0.96320673 -0.98880898
34 -1.22252324  0.03997679
35 -1.25900418 -0.92243098
36 -1.15160698  0.12976593
37 -0.73129715 -0.67462156
38  0.75171376  1.20429655
39 -0.89895985 -2.02615518
40  2.03218272 -0.30637092
41 -0.12349707 -1.23478172
42  2.05897190  0.82806182
43  0.37868276  0.58380902
44 -2.45943809 -3.18227045
45  1.97682611  1.13063016
46  1.15284568  1.77070174
47  1.45657770  0.25081853
